Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,3,-3,0,255,255,255
250,3,-3,0.0253,255,255,255
500,3,-3,0.1185,255,255,255
750,3,-3,0.273,255,255,255
1000,3,-3,0.4814,255,255,255
1250,3,-3,0.7361,255,255,255
1500,3,-3,1.0295,255,255,255
1750,3,-3,1.3543,255,255,255
2000,3,-3,1.7027,255,255,255
2250,3,-3,2.0673,255,255,255
2500,3,-3,2.4405,255,255,255
2750,3,-3,2.8148,255,255,255
3000,3,-3,3.1827,255,255,255
3250,3,-3,3.5367,255,255,255
3500,3,-3,3.8691,255,255,255
3750,3,-3,4.1725,255,255,255
4000,3,-3,4.4393,255,255,255
4250,3,-3.0001,4.6566,255,255,255
4500,3,-3,4.8176,255,255,255
4750,3,-2.9991,4.9339,255,255,255
5000,2.9997,-2.9969,5.017,255,255,255
5250,2.9991,-2.9927,5.0789,255,255,255
5500,2.9982,-2.9859,5.1311,255,255,255
5750,2.9968,-2.9759,5.1856,255,255,255
6000,2.9948,-2.962,5.2539,255,255,255
6250,2.9921,-2.9438,5.348,255,255,255
6500,2.9887,-2.9205,5.4794,255,255,255
6750,2.9845,-2.8922,5.6495,255,255,255
7000,2.9798,-2.8601,5.8432,255,255,255
7250,2.9746,-2.8243,6.0593,255,255,255
7500,2.9689,-2.785,6.2966,255,255,255
7750,2.9628,-2.7424,6.5542,255,255,255
8000,2.9562,-2.6965,6.831,255,255,255
8250,2.9492,-2.6477,7.1261,255,255,255
8500,2.9418,-2.596,7.4384,255,255,255
8750,2.934,-2.5415,7.7669,255,255,255
9000,2.9259,-2.4845,8.1106,255,255,255
9250,2.9174,-2.4251,8.4685,255,255,255
9500,2.9086,-2.3635,8.8395,255,255,255
9750,2.8995,-2.2998,9.2226,255,255,255
10000,2.8901,-2.2341,9.6169,255,255,255
10250,2.8805,-2.1667,10.0213,255,255,255
10500,2.8707,-2.0977,10.4347,255,255,255
10750,2.8606,-2.0273,10.8563,255,255,255
11000,2.8504,-1.9557,11.2851,255,255,255
11250,2.84,-1.8832,11.7202,255,255,255
11500,2.8295,-1.8098,12.1605,255,255,255
11750,2.819,-1.7357,12.605,255,255,255
12000,2.8083,-1.6611,13.0528,255,255,255
12250,2.7976,-1.5862,13.5027,255,255,255
12500,2.7869,-1.5112,13.9539,255,255,255
12750,2.7762,-1.4361,14.4052,255,255,255
13000,2.7655,-1.3612,14.8558,255,255,255
13250,2.7548,-1.2866,15.3046,255,255,255
13500,2.7442,-1.2125,15.7505,255,255,255
13750,2.7337,-1.139,16.1926,255,255,255
14000,2.7233,-1.0664,16.6299,255,255,255
14250,2.7131,-0.9948,17.0614,255,255,255
14500,2.703,-0.9243,17.4861,255,255,255
14750,2.6932,-0.8551,17.9029,255,255,255
15000,2.6835,-0.7874,18.3108,255,255,255
15250,2.6741,-0.7214,18.7089,255,255,255
15500,2.6649,-0.6572,19.0961,255,255,255
15750,2.656,-0.595,19.4715,255,255,255
16000,2.6474,-0.5349,19.834,255,255,255
16250,2.6392,-0.4771,20.1827,255,255,255
16500,2.6313,-0.4218,20.5164,255,255,255
16750,2.6237,-0.3691,20.8343,255,255,255
17000,2.6166,-0.3193,21.1353,255,255,255
17250,2.6099,-0.2724,21.4184,255,255,255
17500,2.6037,-0.2286,21.6826,255,255,255
17750,2.5979,-0.1882,21.9268,255,255,255
18000,2.5926,-0.1512,22.1502,255,255,255
18250,2.5878,-0.1179,22.3516,255,255,255
18500,2.5836,-0.0883,22.5302,255,255,255
18750,2.58,-0.0627,22.6848,255,255,255
19000,2.5769,-0.0413,22.8144,255,255,255
19250,2.5744,-0.0241,22.9181,255,255,255
19500,2.5726,-0.0114,22.9949,255,255,255
19750,2.5715,-0.0034,23.0437,255,255,255
20000,2.571,-0.0001,23.0636,255,255,255
20250,2.571,0,23.064,255,255,255
20500,2.571,0,23.064,255,255,255
20750,2.571,0,23.064,255,255,255
21000,2.571,0,23.064,255,255,255
21250,2.571,0,23.064,255,255,255
21500,2.571,0,23.064,255,255,255
21750,2.571,0,23.064,255,255,255
22000,2.571,0,23.064,255,255,255
22250,2.571,0,23.064,255,255,255
22500,2.571,0,23.064,255,255,255
22750,2.571,0,23.064,255,255,255
23000,2.571,0,23.064,255,255,255
23250,2.571,0,23.064,255,255,255
23500,2.571,0,23.064,255,255,255
23750,2.571,0,23.064,255,255,255
24000,2.571,0,23.064,255,255,255
24250,2.571,0,23.064,255,255,255
24500,2.571,0,23.064,255,255,255
24750,2.571,0,23.064,255,255,255
25000,2.571,0,23.064,255,255,255
25250,2.571,0,23.064,255,255,255
25500,2.571,0,23.064,255,255,255
25750,2.571,0,23.064,255,255,255
26000,2.571,0,23.064,255,255,255
26250,2.571,0,23.064,255,255,255
26500,2.571,0,23.064,255,255,255
26750,2.571,0,23.064,255,255,255
27000,2.571,0,23.064,255,255,255
27250,2.571,0,23.064,255,255,255
27500,2.5702,0,23.0639,255,255,255
27750,2.5669,-0.0001,23.0636,255,255,255
28000,2.5613,-0.0003,23.0631,255,255,255
28250,2.5533,-0.0006,23.0624,255,255,255
28500,2.5429,-0.001,23.0615,255,255,255
28750,2.5301,-0.0014,23.0604,255,255,255
29000,2.515,-0.0019,23.059,255,255,255
29250,2.4976,-0.0025,23.0575,255,255,255
29500,2.4779,-0.0031,23.0557,255,255,255
29750,2.4559,-0.0039,23.0538,255,255,255
30000,2.4316,-0.0047,23.0516,255,255,255
30250,2.405,-0.0056,23.0492,255,255,255
30500,2.3762,-0.0066,23.0467,255,255,255
30750,2.3452,-0.0076,23.0439,255,255,255
31000,2.3119,-0.0088,23.041,255,255,255
31250,2.2765,-0.01,23.0378,255,255,255
31500,2.2389,-0.0112,23.0345,255,255,255
31750,2.1991,-0.0126,23.0309,255,255,255
32000,2.1571,-0.014,23.0272,255,255,255
32250,2.1131,-0.0155,23.0233,255,255,255
32500,2.0669,-0.017,23.0192,255,255,255
32750,2.0186,-0.0187,23.0149,255,255,255
33000,1.9682,-0.0204,23.0104,255,255,255
33250,1.9158,-0.0222,23.0057,255,255,255
33500,1.8613,-0.024,23.0009,255,255,255
33750,1.8048,-0.0259,22.9959,255,255,255
34000,1.7462,-0.0279,22.9906,255,255,255
34250,1.6857,-0.0299,22.9853,255,255,255
34500,1.6231,-0.0321,22.9797,255,255,255
34750,1.5586,-0.0342,22.974,255,255,255
35000,1.4921,-0.0365,22.968,255,255,255
35250,1.4237,-0.0388,22.962,255,255,255
35500,1.3534,-0.0412,22.9557,255,255,255
35750,1.2811,-0.0436,22.9493,255,255,255
36000,1.207,-0.0461,22.9427,255,255,255
36250,1.131,-0.0487,22.9359,255,255,255
36500,1.0531,-0.0513,22.929,255,255,255
36750,0.9734,-0.054,22.9219,255,255,255
37000,0.8918,-0.0568,22.9147,255,255,255
37250,0.8085,-0.0596,22.9072,255,255,255
37500,0.7233,-0.0625,22.8997,255,255,255
37750,0.6364,-0.0654,22.8919,255,255,255
38000,0.5477,-0.0684,22.884,255,255,255
38250,0.4572,-0.0715,22.876,255,255,255
38500,0.365,-0.0746,22.8678,255,255,255
38750,0.2711,-0.0778,22.8594,255,255,255
39000,0.1755,-0.081,22.8509,255,255,255
39250,0.0782,-0.0843,22.8423,255,255,255
39500,-0.0207,-0.0876,22.8335,255,255,255
39750,-0.1213,-0.091,22.8245,255,255,255
40000,-0.2236,-0.0945,22.8154,255,255,255
40250,-0.3274,-0.098,22.8062,255,255,255
40500,-0.4329,-0.1016,22.7968,255,255,255
40750,-0.54,-0.1052,22.7873,255,255,255
41000,-0.6486,-0.1089,22.7776,255,255,255
41250,-0.7588,-0.1126,22.7678,255,255,255
41500,-0.8705,-0.1164,22.7579,255,255,255
41750,-0.9837,-0.1202,22.7478,255,255,255
42000,-1.0985,-0.1241,22.7376,255,255,255
42250,-1.2148,-0.128,22.7273,255,255,255
42500,-1.3325,-0.132,22.7168,255,255,255
42750,-1.4517,-0.136,22.7062,255,255,255
43000,-1.5723,-0.1401,22.6955,255,255,255
43250,-1.6944,-0.1442,22.6846,255,255,255
43500,-1.8178,-0.1484,22.6737,255,255,255
43750,-1.9427,-0.1526,22.6626,255,255,255
44000,-2.0689,-0.1569,22.6513,255,255,255
44250,-2.1965,-0.1612,22.64,255,255,255
44500,-2.3255,-0.1656,22.6285,255,255,255
44750,-2.4558,-0.17,22.6169,255,255,255
45000,-2.5874,-0.1744,22.6052,255,255,255
45250,-2.7203,-0.1789,22.5934,255,255,255
45500,-2.8545,-0.1835,22.5815,255,255,255
45750,-2.99,-0.188,22.5694,255,255,255
46000,-3.1267,-0.1927,22.5572,255,255,255
46250,-3.2646,-0.1973,22.545,255,255,255
46500,-3.4038,-0.202,22.5326,255,255,255
46750,-3.5441,-0.2068,22.5201,255,255,255
47000,-3.6857,-0.2116,22.5075,255,255,255
47250,-3.8284,-0.2164,22.4948,255,255,255
47500,-3.9723,-0.2213,22.482,255,255,255
